epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,560.471,1.15265,0.55227,1.26555,0.9681,1,0.99427,0.67198,1.22025,0.50916,1.38504,0.0009044,0.0009044,0.0009044
85,567.006,1.12599,0.54388,1.24651,0.97088,0.9807,0.99245,0.66861,1.21387,0.49397,1.36253,0.0008912,0.0008912,0.0008912
86,573.559,1.19444,0.55019,1.29718,0.99816,0.97059,0.99376,0.65415,1.31632,0.49799,1.42078,0.000878,0.000878,0.000878
87,580.166,1.15065,0.54331,1.2732,0.97437,0.97059,0.99196,0.66046,1.18915,0.48689,1.41515,0.0008648,0.0008648,0.0008648
88,586.722,1.16784,0.54092,1.25413,1,0.96668,0.99402,0.67609,1.20622,0.49468,1.38851,0.0008516,0.0008516,0.0008516
89,593.259,1.16136,0.5568,1.28259,0.98261,0.98529,0.99299,0.68129,1.20341,0.47312,1.35407,0.0008384,0.0008384,0.0008384
90,599.779,1.17139,0.54019,1.26452,0.9563,0.96541,0.99003,0.68948,1.19926,0.4837,1.35972,0.0008252,0.0008252,0.0008252
91,606.358,1.16004,0.55207,1.27312,0.98288,1,0.99486,0.67652,1.26594,0.50873,1.43723,0.000812,0.000812,0.000812
92,612.915,1.10296,0.52353,1.23942,0.98166,0.95588,0.99047,0.68501,1.22901,0.49673,1.3998,0.0007988,0.0007988,0.0007988
93,619.478,1.11606,0.53199,1.23425,0.96853,0.97059,0.98909,0.66935,1.19313,0.47142,1.37487,0.0007856,0.0007856,0.0007856
94,626.007,1.1354,0.55035,1.25556,0.96927,0.97059,0.98361,0.67451,1.22639,0.47856,1.36869,0.0007724,0.0007724,0.0007724
95,632.525,1.15737,0.54698,1.23954,0.99708,0.98529,0.99201,0.69321,1.1752,0.47747,1.3713,0.0007592,0.0007592,0.0007592
96,639.068,1.13592,0.54043,1.25914,0.96898,0.98529,0.99321,0.65126,1.24753,0.5159,1.42869,0.000746,0.000746,0.000746
97,645.659,1.14103,0.54515,1.25709,0.98304,0.97059,0.97655,0.65303,1.19437,0.46707,1.40524,0.0007328,0.0007328,0.0007328
98,652.184,1.08749,0.52401,1.2462,0.98225,0.97059,0.98671,0.67731,1.1809,0.47312,1.36774,0.0007196,0.0007196,0.0007196
99,658.699,1.12929,0.54157,1.25331,0.99537,0.97059,0.99357,0.68489,1.19308,0.47987,1.38131,0.0007064,0.0007064,0.0007064
100,665.233,1.12742,0.53782,1.22451,0.9971,0.98529,0.99444,0.66121,1.18059,0.4748,1.36579,0.0006932,0.0006932,0.0006932
101,671.76,1.1116,0.52034,1.22747,1,0.98399,0.99444,0.67087,1.21787,0.4621,1.3852,0.00068,0.00068,0.00068
102,678.387,1.10635,0.52373,1.22669,0.98245,0.97059,0.98729,0.67547,1.23747,0.47814,1.37735,0.0006668,0.0006668,0.0006668
103,684.913,1.1139,0.53547,1.26397,1,0.98098,0.99471,0.68569,1.21356,0.48085,1.38208,0.0006536,0.0006536,0.0006536
104,691.416,1.09056,0.5247,1.22615,0.98947,0.98529,0.99471,0.65637,1.17824,0.48363,1.39348,0.0006404,0.0006404,0.0006404
105,697.932,1.07137,0.51786,1.20841,1,0.98165,0.99458,0.67039,1.20257,0.46418,1.39324,0.0006272,0.0006272,0.0006272
106,704.455,1.08881,0.51197,1.24027,0.97543,0.98529,0.99363,0.68664,1.15409,0.46518,1.36048,0.000614,0.000614,0.000614
107,711.086,1.07687,0.52147,1.23147,0.98337,0.97059,0.98681,0.65301,1.24664,0.48793,1.40666,0.0006008,0.0006008,0.0006008
108,717.606,1.11573,0.52525,1.21637,0.99929,0.97059,0.99085,0.6618,1.17771,0.47703,1.3951,0.0005876,0.0005876,0.0005876
109,724.145,1.08915,0.51759,1.20745,0.98389,0.97059,0.98681,0.67935,1.17268,0.45377,1.37374,0.0005744,0.0005744,0.0005744
110,730.665,1.08277,0.51352,1.23095,0.98286,0.97059,0.98714,0.68544,1.22437,0.45301,1.39851,0.0005612,0.0005612,0.0005612
111,737.197,1.07236,0.50977,1.19387,1,0.99507,0.995,0.66754,1.19342,0.471,1.39884,0.000548,0.000548,0.000548
112,743.805,1.09496,0.50364,1.21091,0.98285,0.97059,0.98224,0.68271,1.20201,0.45575,1.40678,0.0005348,0.0005348,0.0005348
113,750.311,1.04471,0.49614,1.1899,0.9824,0.97059,0.98851,0.67862,1.20364,0.45156,1.36915,0.0005216,0.0005216,0.0005216
114,756.833,1.07739,0.50431,1.19914,0.96789,0.98529,0.99142,0.67864,1.166,0.447,1.36604,0.0005084,0.0005084,0.0005084
115,763.351,1.0445,0.49873,1.2172,0.98153,0.97059,0.9871,0.6763,1.2434,0.46449,1.38973,0.0004952,0.0004952,0.0004952
